PCA 1,PCA 2,SMILES,target COSMO vapour pressure,Slisemap 1,Slisemap 2,predicted Slisemap vapour pressure
4.824428483620192,-11.548448806302966,CC1(C)C(CC1C(=O)CC=O)ON(=O)=O,-4.229147988357856,3.5809388,-0.2911074,-4.17267370223999
55.04699402761355,-35.90148198588487,CC(=O)CCC(=O)C(C)(C)C(=O)C(=O)C(=O)CCO,-7.716698771296451,3.9982886,-0.52698284,-7.707589626312256
-11.137261846476287,6.370427238971543,CCCCOC(=O)C,-0.37365963262495766,-1.9735544,-1.189558,-0.38441434502601624
-8.821159450298078,3.2809617861126226,CCC(C)(C(=O)OON(=O)=O)O,-0.5072396109731625,1.5103923,2.5692763,-0.5516054630279541
137.3280462234205,35.78200852594157,C\C1=CCCC(CO)(C2CC(C)(C)C2CC1)OO,-6.950781977329818,-0.8840845,3.4452116,-6.868446350097656
-12.642451410687807,7.625671724460837,CC(C)(C(=O)O)O,-2.962573502059376,0.64317447,-2.3819625,-2.8761563301086426
-11.924749660439739,6.670542568620032,CCC(=CC(=O)O)C=O,-2.616184634019569,-1.973996,-1.188936,-2.3299384117126465
-2.2134603007461875,-4.187615711226299,CCC(=O)C=C(C)C1C(C)(C=O)O1,-3.563837352959244,0.64306027,-2.3817635,-3.486985683441162
34.32014372142362,-36.01146031691857,CC1=C(C2(C(C(C)(C1(O)OO)OO2)O)N(=O)=O)N(=O)=O,-7.087246696328677,-2.4908001,5.3689556,-6.958300590515137
-6.680788303605392,1.2136076001969762,CC(C)(C(C)(C)ON(=O)=O)O,-1.1951793212788377,-0.8830095,3.4375358,-1.0937004089355469
-10.867362682240493,6.0738001504051224,CC(C)C(COO)O,-3.024568191490737,1.5107695,2.5686696,-3.044618606567383
-10.53354092308805,5.454612508662646,Cc1ccc(C)c(c1O)O,-2.939302159646388,-0.8829385,3.4377437,-3.1483852863311768
-4.4294530930952805,-1.2383187972665348,CCCC(C)(CC)ON(=O)=O,-0.6345120151091003,1.5108254,2.568481,-0.8479518294334412
35.1810327220479,-22.68803506748003,CCCCCCC(=O)C(CC(=O)CC)O,-4.684029654543083,3.5805936,-0.29129985,-4.601473808288574
-11.336696380672187,6.320409586564688,CCCC(=O)OCC=O,-1.7328282715969863,1.5104047,2.5682914,-1.6343882083892822
-12.45260558696841,7.172651051114575,CC1=CC(=O)C=CC1=O,-1.7721132953863266,1.5103765,2.5685263,-1.5828248262405396
39.64735548900691,-28.6967873822309,C=C(CC=O)C1CC(C)(C)C1CCC(=O)O,-6.3448615651886175,-0.8855729,3.4623609,-5.932857513427734
-9.908090709084616,4.995998234285164,CC(C)(C(CO)OO)O,-3.142064735280571,-1.973462,-1.1894631,-3.310098886489868
-12.974983869579805,7.905790448537303,C(=O)C1C(C(=O)O)O1,-3.72584215073632,0.6848249,-3.4254065,-3.3043100833892822
-13.229902638190739,8.35935858046868,C(C(=O)OO)(Cl)O,-0.7351821769904635,-0.88335156,3.4375725,-0.67770916223526
-9.779517872211578,4.882260851246263,CCCCOC(=O)C(=O)C,-1.6289321377282637,-0.8830626,3.437486,-1.6853744983673096
-13.234916831673194,8.531389134450013,C(=CC=O)C=O,-0.6020599913279624,-2.3107483,-0.9876116,-0.4133991599082947
-5.756242946452857,-0.19906741706572367,CCC(C)(CC(=O)OON(=O)=O)O,-1.3575354797578787,-0.88274276,3.4374454,-1.479979395866394
37.228974313004805,-32.384477236060754,CCC12C=C(C)C(C(CC)(C1O)OO2)(O)OO,-6.309803919971486,-1.048171,3.560918,-5.992306709289551
-6.428745682846271,0.5200550284617284,CCCCC(C(=O)OON(=O)=O)O,-1.138465589140962,-0.8827603,3.437644,-1.0555232763290405
-6.712946844624469,0.944066950493598,CCCC(CC(=O)OON(=O)=O)O,-1.91721462968355,3.5806398,-0.29134202,-1.7410184144973755
-1.1720317925165213,-5.710403201962591,CCC(=O)C(C(C1C(C=O)O1)O)OO,-5.073143291050307,0.64329886,-2.3822758,-4.899292945861816
-9.129618058769305,3.7354507869983875,CC(=O)C(C(C(=O)C)OO)O,-3.8827287043442356,0.64307964,-2.3819559,-3.8272006511688232
-0.4190412048949812,-6.191826422479319,CC(C)C12C=CC(C(C1O)OO2)O,-6.042392712939905,-4.009344,-1.7405014,-5.931456089019775
-12.544644886843303,7.639454520270008,CCCC(=O)C,0.7442929831226762,3.5811625,-0.29217306,0.4475921392440796
-12.925153062349796,7.905415116125728,CC(=O)CON(=O)=O,-0.8096683018297085,-0.88279223,3.437397,-0.6571229100227356
-12.763622917252777,7.632004963252586,CC(=O)C(=O)COO,-1.7328282715969863,1.5108725,2.5685353,-1.3183438777923584
-8.760185627796224,3.8634049052479758,CCCCC(CC)O,-1.2321023839819094,1.5101978,2.5684144,-1.0370455980300903
-6.478643509121876,0.6405167275611678,CCC(=C(C)C(=O)C=O)C(=O)C=O,-2.2781893847874533,3.5807917,-0.29144746,-2.301076650619507
-11.38764659526265,6.038116804891018,CCC1=CC(=O)C=CC1=O,-2.073143291050308,0.64318365,-2.3817117,-2.3256638050079346
-10.407654216720902,4.658521462790458,C(=O)C(C(CON(=O)=O)O)O,-2.9788107009300617,-1.9739902,-1.1892207,-2.5662853717803955
-7.505045704420585,2.1072752128879797,CCC(=O)CC(CO)ON(=O)=O,-3.7772835288524167,-1.9734399,-1.1895834,-3.6382856369018555
-12.260823892986934,7.06921176384175,C(C=O)C(CC=O)O,-2.401209493236885,1.5110358,2.5684197,-2.220334768295288
-11.842043897670615,6.519585532018267,CC(=O)OCCC(=O)O,-4.132532512140949,4.6326876,-0.3950135,-3.6752142906188965
5.414575446928381,-12.497027071798827,CC(C)(C1CC(=O)CCC1=O)ON(=O)=O,-4.655607726314889,1.510609,2.5690618,-4.486069679260254
-11.06782393360122,5.540101737355382,C(C=O)C(C(=O)CC=O)O,-3.54515513999149,-2.2229488,-1.2621613,-2.9754292964935303
-13.131927775757909,8.11095188697351,C(C(=O)Cl)ON(=O)=O,0.5670263661590604,3.5809948,-0.29095513,0.5760905742645264
11.132316302483735,-18.57340996521795,CCC12C=CC(C(C1ON(=O)=O)OO2)(O)OO,-5.6777807052660805,2.156872,3.4921749,-5.350185394287109
16.30103862189616,-22.59113930533001,CCC12C(C(C(=CC1(O)O)C)OO2)ON(=O)=O,-5.903089986991944,2.0617554,3.4650803,-5.324021339416504
-7.689085470463454,2.3993383911566415,CC(=O)C(CC=O)CCOO,-3.616184634019569,-1.973552,-1.1895424,-3.327702760696411
-1.0123840132346702,-6.091730212622043,C(C(C(CO)(CO)OO)ON(=O)=O)O,-6.092588639225414,1.4083406,-5.6361127,-6.034779071807861
-10.693828224420812,4.96806122453976,CC(=O)CC(=O)CON(=O)=O,-2.616184634019569,-1.9729276,-1.1892978,-2.902432441711426
